,transaction_id,customer_id,transaction_date,payment_method,satisfaction_level,store_branch,total_amount_GBP
59,91060,11759,2023-08-13,Credit Card,5,Leeds Trinity,95.71
60,91061,11902,2023-05-30,Apple Pay,4,Birmingham Bullring,141.65
61,91062,11868,2023-05-21,Google Pay,4,Leeds Trinity,56.69
62,91063,11322,2024-06-28,Debit Card,2,Birmingham Bullring,41.25
63,91064,11724,2023-03-24,Apple Pay,4,Birmingham Bullring,17.46
64,91065,11668,2024-11-21,Credit Card,5,Manchester Arndale,20.7
65,91066,11255,2024-08-08,Apple Pay,4,Birmingham Bullring,18.12
66,91067,11891,2024-09-07,Credit Card,5,Birmingham Bullring,36.2
67,91068,11647,2024-12-09,Cash,5,Manchester Arndale,57.3
68,91069,11678,2022-10-13,Apple Pay,5,London Central,105.01
69,91070,11027,2022-02-11,Credit Card,5,Glasgow Centre,48.55
70,91071,11262,2023-05-20,Credit Card,5,Manchester Arndale,139.34
71,91072,11929,2024-08-06,Apple Pay,3,London Central,47.72
72,91073,11926,2024-06-19,Apple Pay,5,Leeds Trinity,7.05
73,91074,11970,2024-05-29,Google Pay,5,Birmingham Bullring,40.69
74,91075,11226,2024-09-20,Google Pay,1,Birmingham Bullring,71.46
75,91076,11364,2023-09-21,Debit Card,4,Manchester Arndale,43.96
76,91077,11569,2023-01-08,Debit Card,4,Birmingham Bullring,220.44
77,91078,11190,2024-12-06,Debit Card,5,Manchester Arndale,112.58
78,91079,11512,2021-10-02,Apple Pay,4,Glasgow Centre,23.86
79,91080,11130,2020-02-09,Google Pay,4,Leeds Trinity,12.96
80,91081,11344,2024-07-10,Apple Pay,4,London Central,66.08
81,91082,11560,2024-01-17,Apple Pay,3,London Central,76.32
82,91083,11722,2021-12-12,Apple Pay,4,Manchester Arndale,84.02
83,91084,11472,2024-10-03,Google Pay,4,Glasgow Centre,17.84
84,91085,11198,2022-08-16,Google Pay,5,London Central,19.3
85,91086,11307,2024-04-17,Google Pay,3,Manchester Arndale,168.26
86,91087,11965,2022-08-21,Cash,1,Birmingham Bullring,66.75
87,91088,11595,2023-04-12,Apple Pay,4,London Central,78.4
88,91089,11059,2024-09-19,Google Pay,4,London Central,71.38
89,91090,11950,2024-09-12,Google Pay,1,Manchester Arndale,46.38
90,91091,11887,2024-05-21,Credit Card,3,Leeds Trinity,35.18
91,91092,11306,2023-06-14,Debit Card,4,Leeds Trinity,108.66
92,91093,11806,2023-03-25,Apple Pay,4,Leeds Trinity,23.42
93,91094,11574,2023-07-15,Google Pay,5,Leeds Trinity,28.34
94,91095,11515,2020-05-17,Credit Card,4,London Central,98.99
95,91096,11867,2023-03-25,Apple Pay,4,Leeds Trinity,24.1
96,91097,11918,2024-04-18,Google Pay,3,Leeds Trinity,95.16
97,91098,11656,2022-06-04,Apple Pay,2,Manchester Arndale,48.16
98,91099,11677,2024-01-19,Google Pay,5,London Central,90.99
99,91100,11911,2023-10-25,Cash,3,Manchester Arndale,30.6
100,91101,11115,2023-11-11,Google Pay,4,London Central,46.52
101,91102,11188,2024-09-23,Apple Pay,3,London Central,129.42
102,91103,11561,2024-09-23,Cash,5,Birmingham Bullring,122.79
103,91104,11725,2022-02-17,Google Pay,4,Leeds Trinity,136.68
104,91105,11439,2024-01-10,Apple Pay,5,Manchester Arndale,27.95
105,91106,11815,2024-12-28,Apple Pay,3,London Central,162.28
106,91107,11216,2021-10-17,Google Pay,3,Manchester Arndale,21.35
107,91108,11335,2022-08-24,Apple Pay,5,Manchester Arndale,12.35
108,91109,11356,2024-12-18,Apple Pay,1,Manchester Arndale,169.01
109,91110,11409,2024-09-08,Google Pay,4,Leeds Trinity,4.92
110,91111,11729,2023-05-16,Google Pay,2,London Central,7.64
111,91112,11738,2022-11-30,Google Pay,4,Birmingham Bullring,25.09
112,91113,11953,2021-06-06,Apple Pay,5,Manchester Arndale,141.59
113,91114,11133,2024-05-27,Credit Card,5,Manchester Arndale,123.94
114,91115,11685,2024-02-09,Google Pay,5,London Central,80.36
115,91116,11955,2024-03-10,Cash,4,Birmingham Bullring,41.07
116,91117,11840,2024-12-19,Google Pay,4,Leeds Trinity,83.64
117,91118,11432,2024-11-20,Google Pay,2,Manchester Arndale,21.64
118,91119,11201,2022-03-02,Google Pay,4,Leeds Trinity,136.87
119,91120,11910,2022-03-07,Credit Card,3,Glasgow Centre,89.22
120,91121,11528,2023-02-14,Google Pay,1,London Central,3.26
121,91122,11681,2023-03-19,Apple Pay,5,Leeds Trinity,17.52
122,91123,11660,2024-06-08,Google Pay,4,Birmingham Bullring,65.91
123,91124,11290,2023-05-06,Google Pay,5,Manchester Arndale,86.67
124,91125,11637,2024-10-14,Apple Pay,4,Birmingham Bullring,90.99
125,91126,11615,2024-03-23,Apple Pay,5,Glasgow Centre,58.14
126,91127,11708,2021-11-30,Google Pay,4,Leeds Trinity,81.01
127,91128,11512,2022-03-31,Google Pay,3,Manchester Arndale,102.19
128,91129,11416,2024-08-15,Apple Pay,3,London Central,106.78
129,91130,11095,2022-11-25,Google Pay,3,Leeds Trinity,89.35
130,91131,11424,2023-11-10,Apple Pay,4,Birmingham Bullring,43.53
131,91132,11013,2023-07-16,Credit Card,5,Manchester Arndale,56.08
132,91133,11468,2024-08-09,Google Pay,2,Manchester Arndale,101.04
133,91134,11943,2023-12-12,Apple Pay,4,Birmingham Bullring,28.11
134,91135,11140,2020-05-06,Apple Pay,3,Manchester Arndale,11.92
135,91136,11258,2020-06-12,Apple Pay,1,Birmingham Bullring,105.73
136,91137,11783,2021-01-07,Cash,3,Glasgow Centre,115.14
137,91138,11248,2023-12-21,Apple Pay,1,Manchester Arndale,111.07
138,91139,11682,2023-01-16,Apple Pay,5,London Central,103.37
139,91140,11056,2024-03-19,Apple Pay,4,London Central,92.38
140,91141,11620,2023-03-10,Apple Pay,4,Manchester Arndale,213.85
141,91142,11779,2022-12-13,Google Pay,4,London Central,70.48
142,91143,11281,2024-01-27,Credit Card,4,Birmingham Bullring,22.15
143,91144,11253,2022-11-02,Credit Card,2,London Central,33.28
144,91145,11283,2023-03-02,Credit Card,4,London Central,107.04
145,91146,11411,2024-11-16,Google Pay,3,Leeds Trinity,65.31
146,91147,11111,2024-08-19,Apple Pay,4,Leeds Trinity,96.26
147,91148,11776,2023-07-19,Google Pay,5,Manchester Arndale,159.8
148,91149,11295,2023-09-06,Debit Card,3,Manchester Arndale,96.77
149,91150,11765,2024-09-14,Credit Card,4,Glasgow Centre,70.83
150,91151,11862,2024-04-29,Google Pay,4,Birmingham Bullring,39.45
151,91152,11871,2020-03-21,Apple Pay,4,Birmingham Bullring,45.72
152,91153,11895,2024-05-01,Google Pay,4,Birmingham Bullring,20.39
153,91154,11938,2024-09-12,Google Pay,5,London Central,139.4
154,91155,11571,2021-08-21,Credit Card,3,Birmingham Bullring,186.91
155,91156,11971,2024-03-05,Apple Pay,4,London Central,22.46
156,91157,11974,2020-03-16,Apple Pay,4,Manchester Arndale,88.19
157,91158,11658,2023-07-20,Google Pay,2,London Central,71.7
158,91159,11895,2022-01-02,Credit Card,4,London Central,81.96
159,91160,11206,2024-05-16,Google Pay,5,Manchester Arndale,33.73
160,91161,11440,2024-02-14,Credit Card,4,Manchester Arndale,49.54
161,91162,11893,2022-10-26,Google Pay,5,Manchester Arndale,109.56
162,91163,11193,2020-01-14,Credit Card,4,Birmingham Bullring,128.27
163,91164,11421,2024-01-04,Credit Card,5,Manchester Arndale,27.67
164,91165,11459,2023-11-06,Apple Pay,4,Manchester Arndale,50.38
165,91166,11686,2023-09-12,Google Pay,4,London Central,40.16
166,91167,11405,2023-08-29,Google Pay,5,London Central,57.22
167,91168,11890,2024-02-19,Credit Card,4,Manchester Arndale,25.76
168,91169,11325,2024-08-28,Credit Card,4,Manchester Arndale,77.12
169,91170,11867,2024-05-31,Credit Card,5,London Central,23.18
170,91171,11227,2023-09-02,Credit Card,4,London Central,53.73
171,91172,11352,2024-06-25,Apple Pay,3,Leeds Trinity,57.93
172,91173,11715,2021-09-04,Apple Pay,1,Glasgow Centre,57.09
173,91174,11496,2021-11-16,Apple Pay,4,Birmingham Bullring,91.11
174,91175,11862,2022-12-10,Credit Card,5,Manchester Arndale,21.07
175,91176,11527,2023-10-13,Credit Card,5,London Central,185.47
176,91177,11559,2024-07-11,Apple Pay,4,Glasgow Centre,25.57
177,91178,11042,2023-04-29,Google Pay,5,London Central,95.07
178,91179,11444,2022-03-09,Cash,3,London Central,92.21
179,91180,11872,2022-06-21,Apple Pay,3,Manchester Arndale,91.76
180,91181,11026,2024-12-11,Google Pay,1,London Central,100.98
181,91182,11649,2024-06-17,Google Pay,4,Birmingham Bullring,182.46
182,91183,11156,2024-11-25,Apple Pay,3,Birmingham Bullring,59.53
183,91184,11483,2022-03-15,Google Pay,5,London Central,75.41
184,91185,11001,2024-09-18,Apple Pay,1,Glasgow Centre,132.7
185,91186,11883,2020-05-19,Cash,4,Manchester Arndale,17.8
186,91187,11517,2023-08-13,Google Pay,4,London Central,78.45
187,91188,11408,2024-11-13,Credit Card,5,Manchester Arndale,29.15
188,91189,11439,2023-09-13,Google Pay,4,Birmingham Bullring,82.76
189,91190,11010,2020-09-22,Credit Card,5,Manchester Arndale,86.67
190,91191,11467,2023-06-29,Google Pay,5,Glasgow Centre,37.97
191,91192,11219,2023-12-26,Apple Pay,4,London Central,165.76
192,91193,11227,2021-12-30,Credit Card,5,Birmingham Bullring,50.3
193,91194,11882,2024-11-25,Google Pay,5,Birmingham Bullring,57.9
194,91195,11626,2022-10-03,Debit Card,4,Birmingham Bullring,75.75
195,91196,11672,2023-03-13,Google Pay,3,Leeds Trinity,83.23
196,91197,11201,2024-09-09,Cash,4,Leeds Trinity,36.05
197,91198,11545,2023-03-07,Apple Pay,2,Birmingham Bullring,1.7
198,91199,11656,2022-07-28,Credit Card,5,London Central,55.15
199,91200,11294,2020-10-19,Debit Card,3,Manchester Arndale,159.94
200,91201,11282,2024-09-12,Debit Card,4,London Central,108.0
201,91202,11977,2022-04-26,Cash,4,Birmingham Bullring,26.25
202,91203,11133,2021-04-24,Google Pay,4,Birmingham Bullring,45.95
203,91204,11997,2023-02-01,Debit Card,5,Birmingham Bullring,26.93
204,91205,11224,2023-12-16,Debit Card,4,Birmingham Bullring,123.08
205,91206,11981,2024-06-09,Credit Card,3,London Central,37.96
206,91207,11001,2024-03-27,Apple Pay,3,Leeds Trinity,118.88
207,91208,11877,2022-06-11,Credit Card,5,Glasgow Centre,4.56
208,91209,11724,2024-04-07,Apple Pay,2,London Central,32.63
209,91210,11967,2022-11-05,Credit Card,5,Leeds Trinity,123.77
210,91211,11957,2024-08-13,Apple Pay,3,Manchester Arndale,76.83
211,91212,11859,2023-08-31,Debit Card,5,Manchester Arndale,45.52
212,91213,11814,2023-05-29,Apple Pay,4,Glasgow Centre,88.63
213,91214,11370,2023-10-16,Google Pay,5,Leeds Trinity,37.58
214,91215,11798,2020-07-07,Google Pay,4,London Central,106.98
215,91216,11396,2024-04-03,Google Pay,4,Manchester Arndale,14.56
216,91217,11881,2022-04-08,Apple Pay,2,Glasgow Centre,24.77
217,91218,11977,2024-11-08,Apple Pay,3,Birmingham Bullring,20.08
218,91219,11376,2024-10-24,Cash,3,London Central,41.54
219,91220,11263,2024-05-08,Google Pay,4,Manchester Arndale,111.11
220,91221,11157,2022-02-19,Credit Card,5,Manchester Arndale,87.63
221,91222,11536,2021-05-20,Google Pay,5,Glasgow Centre,44.27
222,91223,11437,2022-05-19,Google Pay,5,London Central,78.05
223,91224,11984,2023-03-13,Google Pay,3,Birmingham Bullring,178.13
224,91225,11750,2024-09-14,Apple Pay,5,London Central,31.66
225,91226,11773,2023-03-02,Debit Card,3,Birmingham Bullring,112.97
226,91227,11112,2023-09-03,Google Pay,5,Birmingham Bullring,24.42
227,91228,11649,2022-07-29,Apple Pay,4,Manchester Arndale,149.14
228,91229,11457,2022-02-01,Debit Card,4,Birmingham Bullring,106.57
229,91230,11271,2023-09-27,Google Pay,4,Leeds Trinity,157.7
230,91231,11730,2023-03-31,Credit Card,4,Manchester Arndale,79.25
231,91232,11812,2020-12-06,Debit Card,5,Leeds Trinity,50.44
232,91233,11649,2022-07-11,Google Pay,3,London Central,90.23
233,91234,11083,2024-11-12,Google Pay,5,London Central,78.17
234,91235,11926,2023-06-14,Apple Pay,4,Leeds Trinity,55.06
235,91236,11241,2022-07-04,Google Pay,1,London Central,4.16
236,91237,11237,2024-12-28,Credit Card,5,Manchester Arndale,162.18
237,91238,11904,2023-11-01,Apple Pay,5,Glasgow Centre,185.85
238,91239,11224,2023-08-10,Google Pay,4,Manchester Arndale,67.97
239,91240,11566,2023-11-25,Google Pay,2,Birmingham Bullring,12.24
240,91241,11600,2023-07-10,Apple Pay,3,London Central,19.26
241,91242,11049,2022-01-01,Credit Card,5,Manchester Arndale,48.79
242,91243,11692,2023-07-02,Google Pay,4,Glasgow Centre,145.1
243,91244,11993,2024-05-14,Credit Card,2,Manchester Arndale,75.08
244,91245,11965,2022-09-10,Debit Card,5,London Central,58.25
245,91246,11490,2024-07-20,Apple Pay,5,Manchester Arndale,33.42
246,91247,11371,2022-12-28,Credit Card,4,Glasgow Centre,31.01
247,91248,11776,2024-03-15,Cash,3,Birmingham Bullring,61.35
248,91249,11732,2024-09-18,Credit Card,3,London Central,47.33
249,91250,11658,2024-02-12,Google Pay,5,Leeds Trinity,104.57
250,91251,11697,2024-08-03,Credit Card,4,Manchester Arndale,66.73
251,91252,11425,2024-03-11,Debit Card,5,Manchester Arndale,75.85
252,91253,11669,2024-04-04,Credit Card,5,Leeds Trinity,28.94
253,91254,11441,2024-07-23,Credit Card,2,Leeds Trinity,32.18
254,91255,11161,2024-02-05,Apple Pay,4,London Central,26.98
255,91256,11385,2023-08-13,Apple Pay,4,Leeds Trinity,12.51
256,91257,11155,2024-08-29,Google Pay,4,Birmingham Bullring,47.8
257,91258,11880,2024-02-05,Apple Pay,3,Manchester Arndale,35.43
258,91259,11144,2023-11-09,Debit Card,3,London Central,8.95
259,91260,11915,2023-05-22,Credit Card,3,Manchester Arndale,36.93
260,91261,11547,2023-01-03,Debit Card,1,London Central,60.33
261,91262,11060,2024-11-18,Google Pay,4,Manchester Arndale,83.25
262,91263,11448,2023-06-21,Credit Card,5,Leeds Trinity,116.87
263,91264,11969,2021-05-31,Credit Card,2,Manchester Arndale,81.75
264,91265,11006,2024-11-12,Apple Pay,4,Manchester Arndale,66.96
265,91266,11694,2024-05-22,Credit Card,4,Leeds Trinity,57.2
266,91267,11993,2024-02-06,Apple Pay,2,London Central,46.66
267,91268,11272,2022-12-13,Debit Card,2,Birmingham Bullring,66.79
268,91269,11152,2022-09-13,Debit Card,5,Birmingham Bullring,79.9
269,91270,11580,2024-09-17,Apple Pay,3,Leeds Trinity,23.48
270,91271,11517,2023-01-05,Credit Card,3,London Central,87.84
271,91272,11195,2023-11-02,Cash,1,London Central,20.02
272,91273,11899,2024-01-30,Apple Pay,5,London Central,14.08
273,91274,11916,2020-02-23,Apple Pay,5,London Central,63.4
274,91275,11385,2022-07-28,Apple Pay,2,London Central,83.47
275,91276,11349,2024-09-23,Apple Pay,3,Manchester Arndale,117.02
276,91277,11412,2020-11-03,Apple Pay,3,Manchester Arndale,68.74
277,91278,11865,2022-10-20,Google Pay,5,London Central,88.99
278,91279,11338,2024-05-20,Google Pay,5,Birmingham Bullring,119.86
279,91280,11486,2022-08-03,Apple Pay,5,Manchester Arndale,5.82
280,91281,11568,2023-04-11,Credit Card,1,London Central,10.76
281,91282,11341,2022-08-21,Apple Pay,3,Manchester Arndale,143.42
282,91283,11184,2024-11-11,Google Pay,5,Leeds Trinity,46.69
283,91284,11310,2022-10-23,Debit Card,5,Birmingham Bullring,30.6
284,91285,11840,2023-03-20,Google Pay,3,London Central,58.31
285,91286,11724,2023-05-11,Apple Pay,4,Birmingham Bullring,52.21
286,91287,11327,2021-10-14,Apple Pay,4,London Central,30.73
287,91288,11085,2022-09-11,Debit Card,2,Manchester Arndale,113.93
288,91289,11594,2024-01-29,Apple Pay,4,Manchester Arndale,149.29
289,91290,11784,2023-10-25,Apple Pay,4,Birmingham Bullring,9.32
290,91291,11782,2021-05-27,Google Pay,3,Leeds Trinity,90.8
291,91292,11995,2021-11-15,Google Pay,4,London Central,62.1
292,91293,11221,2024-03-27,Cash,4,London Central,65.39
293,91294,11884,2021-02-13,Google Pay,4,Manchester Arndale,104.31
294,91295,11343,2021-03-10,Google Pay,5,London Central,159.38
295,91296,11692,2024-09-19,Apple Pay,4,Leeds Trinity,60.38
296,91297,11130,2024-12-04,Cash,1,Leeds Trinity,103.82
297,91298,11295,2021-07-21,Cash,2,Manchester Arndale,113.35
298,91299,11103,2023-01-05,Google Pay,3,Manchester Arndale,88.93
299,91300,11807,2023-01-22,Apple Pay,4,Glasgow Centre,72.79
300,91301,11373,2020-07-16,Google Pay,3,London Central,82.18
301,91302,11740,2021-11-22,Google Pay,4,Manchester Arndale,34.47
302,91303,11993,2023-02-11,Credit Card,4,London Central,54.74
303,91304,11452,2023-01-28,Apple Pay,5,Manchester Arndale,29.54
304,91305,11340,2021-04-09,Credit Card,4,Manchester Arndale,171.02
305,91306,11265,2022-08-29,Google Pay,4,Glasgow Centre,112.78
306,91307,11542,2022-08-08,Credit Card,5,London Central,5.7
307,91308,11289,2023-06-29,Debit Card,4,London Central,103.65
308,91309,11166,2023-03-02,Google Pay,1,Leeds Trinity,77.71
309,91310,11696,2023-07-18,Credit Card,5,Manchester Arndale,28.92
310,91311,11364,2022-06-04,Credit Card,5,Glasgow Centre,52.85
311,91312,11517,2021-04-30,Apple Pay,4,Leeds Trinity,102.48
312,91313,11012,2020-03-31,Apple Pay,2,Glasgow Centre,76.07
313,91314,11052,2023-10-06,Google Pay,5,Birmingham Bullring,8.15
314,91315,11876,2022-12-20,Google Pay,4,Leeds Trinity,114.51
315,91316,11540,2023-08-14,Apple Pay,5,Birmingham Bullring,23.43
316,91317,11927,2024-05-09,Apple Pay,3,Birmingham Bullring,67.49
317,91318,11497,2024-09-15,Apple Pay,2,Leeds Trinity,32.3
318,91319,11466,2024-11-07,Credit Card,4,Leeds Trinity,25.68
319,91320,11247,2024-09-15,Google Pay,3,Birmingham Bullring,90.54
320,91321,11927,2024-02-21,Google Pay,2,Leeds Trinity,36.13
321,91322,11184,2023-05-07,Credit Card,4,Birmingham Bullring,72.2
322,91323,11207,2024-07-31,Apple Pay,2,Manchester Arndale,2.48
323,91324,11849,2024-08-08,Credit Card,4,Manchester Arndale,119.64
324,91325,11314,2024-01-04,Apple Pay,2,London Central,138.14
325,91326,11440,2024-11-05,Apple Pay,5,Birmingham Bullring,48.27
326,91327,11124,2024-04-28,Google Pay,1,Manchester Arndale,31.99
327,91328,11416,2021-09-15,Google Pay,2,Glasgow Centre,36.6
328,91329,11427,2024-08-20,Google Pay,5,Birmingham Bullring,86.7
329,91330,11522,2023-04-13,Apple Pay,4,Leeds Trinity,57.54
330,91331,11986,2023-06-21,Google Pay,5,Birmingham Bullring,31.52
331,91332,11722,2020-12-25,Cash,5,Glasgow Centre,141.74
332,91333,11786,2022-10-27,Google Pay,4,London Central,75.13
333,91334,11325,2023-12-17,Apple Pay,4,Manchester Arndale,22.96
334,91335,11431,2023-05-07,Google Pay,3,Manchester Arndale,121.29
335,91336,11682,2024-10-03,Google Pay,5,Birmingham Bullring,27.56
336,91337,11384,2021-08-16,Credit Card,2,Manchester Arndale,28.99
337,91338,11915,2022-12-19,Google Pay,1,Glasgow Centre,99.1
338,91339,11158,2023-05-19,Google Pay,5,Manchester Arndale,116.54
339,91340,11809,2022-10-19,Apple Pay,4,Glasgow Centre,12.66
340,91341,11481,2023-03-23,Google Pay,5,London Central,30.16
341,91342,11556,2021-03-23,Google Pay,2,Manchester Arndale,39.43
342,91343,11778,2023-05-12,Apple Pay,2,London Central,88.62
343,91344,11153,2024-09-26,Credit Card,4,Birmingham Bullring,138.62
344,91345,11294,2024-04-28,Google Pay,4,Leeds Trinity,47.56
345,91346,11936,2022-11-17,Google Pay,5,Leeds Trinity,45.41
346,91347,11066,2024-10-03,Apple Pay,4,Birmingham Bullring,86.94
347,91348,11182,2023-02-03,Apple Pay,1,London Central,87.25
348,91349,11003,2022-08-24,Debit Card,3,Glasgow Centre,128.29
349,91350,11815,2022-05-02,Credit Card,4,Glasgow Centre,38.12
350,91351,11925,2023-02-06,Credit Card,1,Glasgow Centre,55.35
351,91352,11844,2023-12-31,Google Pay,5,London Central,7.61
352,91353,11402,2023-12-01,Apple Pay,5,Leeds Trinity,95.62
353,91354,11025,2024-03-23,Apple Pay,3,Birmingham Bullring,49.41
354,91355,11692,2020-05-27,Google Pay,2,Glasgow Centre,22.5
355,91356,11581,2022-10-22,Cash,4,Glasgow Centre,58.32
356,91357,11142,2023-10-11,Google Pay,2,Manchester Arndale,60.76
357,91358,11738,2021-12-05,Google Pay,3,Birmingham Bullring,89.29
358,91359,11352,2023-12-17,Debit Card,3,Leeds Trinity,25.45
359,91360,11259,2022-04-09,Apple Pay,3,Birmingham Bullring,26.93
360,91361,12000,2023-06-24,Google Pay,3,Birmingham Bullring,81.98
361,91362,11606,2023-01-03,Debit Card,3,Manchester Arndale,30.61
362,91363,11939,2021-03-23,Apple Pay,3,Glasgow Centre,41.56
363,91364,11770,2021-03-12,Google Pay,5,Birmingham Bullring,140.88
364,91365,11554,2021-04-16,Google Pay,5,Leeds Trinity,100.04
365,91366,11009,2024-05-08,Credit Card,5,Leeds Trinity,45.62
366,91367,11661,2024-07-07,Google Pay,5,London Central,159.49
367,91368,11216,2020-10-15,Google Pay,3,Leeds Trinity,22.86
368,91369,11344,2023-03-24,Apple Pay,5,Birmingham Bullring,29.87
369,91370,11911,2022-08-13,Apple Pay,2,Glasgow Centre,28.54
370,91371,11078,2021-04-28,Google Pay,4,London Central,3.2
371,91372,11423,2021-02-07,Apple Pay,2,Manchester Arndale,14.46
372,91373,11787,2023-10-19,Google Pay,5,Leeds Trinity,32.74
373,91374,11335,2021-12-29,Google Pay,4,Birmingham Bullring,54.34
374,91375,11788,2024-05-01,Apple Pay,4,Glasgow Centre,90.14
375,91376,11180,2023-12-11,Google Pay,3,Birmingham Bullring,86.13
376,91377,11228,2021-05-21,Debit Card,2,Birmingham Bullring,42.43
377,91378,11787,2023-06-22,Credit Card,3,London Central,106.63
378,91379,11147,2022-09-22,Credit Card,4,Leeds Trinity,122.23
379,91380,11261,2022-08-24,Debit Card,4,Manchester Arndale,36.06
380,91381,11296,2020-11-26,Credit Card,2,Glasgow Centre,10.25
381,91382,11256,2022-04-22,Google Pay,3,Birmingham Bullring,3.72
382,91383,11859,2024-06-12,Credit Card,4,Birmingham Bullring,84.67
383,91384,11651,2023-07-04,Google Pay,5,London Central,85.79
384,91385,11831,2021-04-16,Google Pay,1,Leeds Trinity,49.37
385,91386,11445,2023-12-28,Apple Pay,4,Leeds Trinity,23.84
386,91387,11102,2023-10-11,Cash,3,Leeds Trinity,21.42
387,91388,11597,2021-11-01,Apple Pay,3,Leeds Trinity,5.66
388,91389,11582,2023-06-08,Google Pay,3,Manchester Arndale,54.7
389,91390,11576,2023-01-14,Google Pay,4,Leeds Trinity,26.64
390,91391,11560,2021-02-13,Apple Pay,2,London Central,93.58
391,91392,11879,2024-12-25,Google Pay,4,Leeds Trinity,85.08
392,91393,11622,2021-01-15,Debit Card,3,Manchester Arndale,81.32
393,91394,11007,2022-02-15,Credit Card,1,London Central,2.17
394,91395,11990,2024-02-06,Apple Pay,2,London Central,76.23
